Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
1384345150407291,2014-02-18,1392690282,Charged,jflteatt,Gestice,com.marcochiang.justice,paidapp,,USD,1.99,0.00,1.99,,,85212,US
1305855691201748,2014-02-18,1392726224,Charged,scorpion_mini,Gestice,com.marcochiang.justice,paidapp,,USD,1.99,0.00,1.99,,,68505,US
1319283756819339,2014-02-19,1392777215,Charged,mako,Gestice,com.marcochiang.justice,paidapp,,USD,1.99,0.00,1.99,Mountain View,CA,94041,US
1317934966911265,2014-02-19,1392782821,Charged,hammerhead,Gestice,com.marcochiang.justice,paidapp,,GBP,1.19,0.00,1.19,Kent,,BR8 8HJ,GB
1337467835143420,2014-02-19,1392787203,Charged,hammerhead,Gestice,com.marcochiang.justice,paidapp,,USD,1.99,0.00,1.99,Palo Alto,CA,94301,US
1353895127137488,2014-02-19,1392814641,Charged,hammerhead,Gestice,com.marcochiang.justice,paidapp,,USD,1.99,0.00,1.99,,,01886,US
1301546052610240,2014-02-20,1392875532,Charged,m7,Gestice,com.marcochiang.justice,paidapp,,EUR,1.45,0.00,1.45,Milano,MI,20148,IT
1319218657659766,2014-02-20,1392926311,Charged,hammerhead,(BETA) Gestice,org.gestice.app,paidapp,,USD,2.00,0.00,2.00,,,01886,US
1380853175517878,2014-02-20,1392928540,Charged,hammerhead,(BETA) Gestice,org.gestice.app,paidapp,,GBP,1.20,0.00,1.20,Kent,,BR8 8HJ,GB
1365945324006721,2014-02-21,1392960564,Charged,mako,(BETA) Gestice,org.gestice.app,paidapp,,USD,1.99,0.00,1.99,Mountain View,CA,94041,US
1308112384148997,2014-02-21,1392967905,Charged,t0ltevzw,(BETA) Gestice,org.gestice.app,paidapp,,USD,1.99,0.00,1.99,,,68446,US
1391102549291659,2014-02-21,1392971186,Charged,m7,(BETA) Gestice,org.gestice.app,paidapp,,USD,1.99,0.00,1.99,,,19036,US
1348150244249567,2014-02-21,1393002487,Charged,m7,(BETA) Gestice,org.gestice.app,paidapp,,EUR,1.45,0.00,1.45,Tallinn,,,EE
